Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2010","2010","kcal/cap/d","51","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2011","2011","kcal/cap/d","46","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2012","2012","kcal/cap/d","32","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2013","2013","kcal/cap/d","32","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2014","2014","kcal/cap/d","28","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2015","2015","kcal/cap/d","22","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2016","2016","kcal/cap/d","23","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2017","2017","kcal/cap/d","13","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2018","2018","kcal/cap/d","17","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2019","2019","kcal/cap/d","37","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2020","2020","kcal/cap/d","46","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2021","2021","kcal/cap/d","37","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2022","2022","kcal/cap/d","26","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2023","2023","kcal/cap/d","37","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2000","2000","kcal/cap/d","2254","E","Estimated value",""
